site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,vote_p
嘉義縣水上鄉,0.7991,0.5803,0.2514,0.1706,0.4776,0.0918,0.6579,0.1607,0.326,43.7355,44,0.6938,0.416
嘉義縣太保市,0.8116,0.5894,0.2689,0.1898,0.5174,0.0763,0.6622,0.17,0.3382,39.8749,39.7135,0.2547,0.6834
嘉義縣溪口鄉,0.6992,0.4751,0.2011,0.1366,0.5209,0.0711,0.6932,0.1466,0.2758,46.5423,47.9677,0.9106,0.5423
嘉義縣新港鄉,0.7414,0.5206,0.2324,0.1594,0.5211,0.0673,0.6817,0.1511,0.2937,44.2022,44.6019,0.729,0.49370000000000003
嘉義縣義竹鄉,0.69,0.4658,0.2081,0.1415,0.5309,0.0686,0.7216,0.1224,0.2557,48.5875,50,0.9837,0.3433
嘉義縣中埔鄉,0.7885,0.5629,0.2414,0.1639,0.4957,0.088,0.6687,0.1609,0.3333,43.3177,43,0.6369,0.448
嘉義縣竹崎鄉,0.7486,0.5192,0.2113,0.1454,0.5192,0.0778,0.6882,0.1523,0.3069,44.5537,45.2546,0.7588,0.6273
金門縣金城鎮,0.8784,0.724,0.4185,0.3139,0.5524,0.0749,0.6829,0.1715,0.3435,42.0166,42.848,0.477,0.5601
金門縣金湖鎮,0.8646,0.7064,0.3906,0.2877,0.5537,0.0786,0.6851,0.1764,0.3653,41.4047,41.1175,0.3902,0.4522
金門縣金寧鄉,0.8701,0.7299,0.36,0.271,0.501,0.0684,0.6197,0.2335,0.383,39.726,39,0.2385,0.6966
金門縣金沙鎮,0.8383,0.6701,0.3532,0.2582,0.5607,0.0691,0.6966,0.1729,0.3294,43.5089,45,0.664,0.6406
金門縣烈嶼鄉,0.8239,0.6543,0.34,0.2467,0.5683,0.0696,0.7054,0.1715,0.3276,44.0753,45,0.7236,0.6137
金門縣烏坵鄉,0.89,0.731,0.3926,0.2369,0.5618,0.0761,0.6802,0.1777,0.3046,38.9518,41,0.1572,0.6292
連江縣北竿鄉,0.8139,0.6554,0.3622,0.277,0.5431,0.08,0.6811,0.1618,0.337,41.86,42.7333,0.4607,0.3912
連江縣東引鄉,0.8599,0.7045,0.3339,0.234,0.5286,0.0769,0.6456,0.2169,0.4261,37.9622,37.3333,0.0813,0.6542
連江縣莒光鄉,0.808,0.6553,0.3593,0.2587,0.5547,0.088,0.692,0.1833,0.3427,43.8431,45.2857,0.7046,0.5807
連江縣南竿鄉,0.8463,0.6873,0.3887,0.2932,0.5259,0.0877,0.6589,0.1758,0.3594,39.7899,39.9167,0.2439,0.6452
苗栗縣大湖鄉,0.7976,0.5787,0.2215,0.1546,0.5161,0.0786,0.6946,0.1573,0.2996,45.0363,46,0.7995,0.49370000000000003
苗栗縣公館鄉,0.8584,0.6632,0.298,0.2101,0.5158,0.0718,0.6679,0.1728,0.3365,42.1502,41.9947,0.4932,0.4786
苗栗縣後龍鎮,0.7883,0.5393,0.2365,0.1713,0.5072,0.0729,0.6723,0.1617,0.3235,42.635,42.2734,0.5528,0.4508
苗栗縣苗栗市,0.8833,0.7186,0.3721,0.267,0.5029,0.0844,0.6595,0.163,0.3369,41.7013,41,0.4309,0.6553
苗栗縣南庄鄉,0.7886,0.4874,0.1821,0.1196,0.4726,0.1027,0.692,0.1385,0.2793,44.881,46,0.7832,0.3987
苗栗縣三灣鄉,0.7838,0.5586,0.2347,0.1648,0.5426,0.0694,0.7085,0.1431,0.2837,45.6767,47,0.8591,0.6523
苗栗縣三義鄉,0.8278,0.6221,0.2783,0.1958,0.524,0.0745,0.6713,0.173,0.3361,42.5045,42.1593,0.5339,0.4611
苗栗縣獅潭鄉,0.7386,0.5621,0.1717,0.1064,0.5171,0.0947,0.7297,0.1105,0.2388,49.9143,52,0.9892,0.4496
苗栗縣泰安鄉,0.8058,0.4488,0.1369,0.0838,0.4842,0.1297,0.7135,0.1621,0.3241,41.1299,42,0.3604,0.4188
苗栗縣通霄鎮,0.7635,0.5268,0.2312,0.1675,0.5182,0.0637,0.6754,0.158,0.3189,44.0732,44,0.7209,0.639
苗栗縣銅鑼鄉,0.8398,0.6449,0.2748,0.1883,0.5198,0.0737,0.6789,0.1657,0.321,43.7008,44,0.6883,0.6134
苗栗縣頭份市,0.8812,0.6927,0.3529,0.2543,0.5281,0.0828,0.671,0.1672,0.3697,38.7803,38,0.1382,0.5787
苗栗縣頭屋鄉,0.8171,0.6184,0.2596,0.1828,0.5241,0.08,0.6907,0.1505,0.3173,44.5087,44.86,0.7534,0.54990000000000006
苗栗縣西湖鄉,0.7834,0.5678,0.2227,0.1519,0.539,0.0679,0.7132,0.1418,0.2761,47.6961,49,0.9648,0.3394
苗栗縣苑裡鎮,0.7953,0.5474,0.2412,0.1747,0.5219,0.0608,0.6652,0.1751,0.342,41.8384,41,0.458,0.6127
苗栗縣造橋鄉,0.8289,0.6151,0.2623,0.1914,0.5207,0.0747,0.6824,0.1608,0.3313,43.3301,43,0.6423,0.3601
苗栗縣竹南鎮,0.871,0.6807,0.3682,0.2757,0.5304,0.078,0.6678,0.1629,0.3718,37.9212,37.7051,0.0759,0.3055
苗栗縣卓蘭鎮,0.7844,0.5599,0.2337,0.1695,0.5289,0.0711,0.6887,0.1507,0.3294,44.6844,44.9157,0.7696,0.3162
南投縣埔里鎮,0.8257,0.5739,0.2589,0.1802,0.4655,0.102,0.6484,0.1582,0.3159,42.4692,42.9468,0.5285,0.442
南投縣草屯鎮,0.8447,0.6438,0.3369,0.2276,0.5075,0.0742,0.653,0.1693,0.3395,41.666,41,0.4228,0.5379
南投縣國姓鄉,0.7355,0.4574,0.1752,0.1183,0.4866,0.0927,0.6911,0.1454,0.2779,45.7209,47.4924,0.8645,0.6626
南投縣集集鎮,0.7994,0.5331,0.2373,0.1605,0.5144,0.0787,0.6932,0.1492,0.2921,45.4355,46.3654,0.8401,0.6071
南投縣鹿谷鄉,0.773,0.5413,0.2334,0.161,0.5481,0.0659,0.715,0.1454,0.2947,46.6512,48,0.9187,0.4701
南投縣名間鄉,0.7802,0.5533,0.244,0.1629,0.5176,0.0704,0.6763,0.1599,0.3133,43.6747,44,0.6829,0.4571
南投縣南投市,0.8611,0.6782,0.3655,0.2528,0.5025,0.0717,0.649,0.1718,0.339,41.6689,41,0.4255,0.4176
南投縣仁愛鄉,0.8032,0.5129,0.1489,0.0946,0.4849,0.1138,0.69,0.1798,0.3627,37.4001,37,0.0488,0.5129
南投縣水里鄉,0.7798,0.5065,0.2132,0.1431,0.4841,0.0886,0.6778,0.1453,0.2925,45.4311,47,0.8374,0.3028
南投縣信義鄉,0.7869,0.468,0.1587,0.1121,0.4859,0.0722,0.6519,0.2052,0.382,38.339,37,0.0921,0.4961
南投縣魚池鄉,0.7523,0.4905,0.1963,0.1343,0.4997,0.0891,0.6876,0.1391,0.2826,45.5308,46.463,0.8564,0.6322
南投縣中寮鄉,0.7421,0.4847,0.1818,0.1197,0.5169,0.0801,0.7091,0.1297,0.2629,46.7361,48.5848,0.9214,0.3652
南投縣竹山鎮,0.7719,0.5457,0.2468,0.17,0.5106,0.0837,0.6801,0.1498,0.3157,43.3241,43.0767,0.6396,0.6358
澎湖縣白沙鄉,0.7586,0.5048,0.2135,0.1569,0.514,0.088,0.6915,0.1561,0.3162,43.5731,43.8274,0.6694,0.5929
澎湖縣湖西鄉,0.7641,0.5398,0.2391,0.1718,0.4835,0.0923,0.6621,0.1622,0.3365,43.464,43,0.6558,0.379
澎湖縣馬公市,0.8485,0.6703,0.3298,0.246,0.473,0.0843,0.6237,0.1901,0.3693,40.3358,39,0.2846,0.5068
澎湖縣七美鄉,0.7208,0.4723,0.2192,0.1682,0.519,0.0789,0.6877,0.1615,0.3578,42.578,42,0.5447,0.5751
澎湖縣望安鄉,0.6622,0.4588,0.2124,0.1587,0.5399,0.066,0.6912,0.1376,0.2916,44.9992,46,0.7967,0.3081
澎湖縣西嶼鄉,0.6515,0.4228,0.1845,0.1365,0.5178,0.0859,0.7038,0.1392,0.3028,44.9535,45.1102,0.7886,0.5422
屏東縣潮州鎮,0.8439,0.6557,0.3008,0.2081,0.4723,0.0969,0.6446,0.1625,0.3282,42.0372,42,0.4797,0.3844
屏東縣車城鄉,0.729,0.4569,0.16,0.104,0.4425,0.1092,0.6773,0.1262,0.2588,45.8947,47,0.878,0.3049
屏東縣春日鄉,0.6515,0.3804,0.1166,0.0735,0.4161,0.1337,0.651,0.1834,0.3821,37.9049,36.8636,0.0705,0.3824
屏東縣東港鎮,0.8,0.5803,0.2547,0.1727,0.498,0.0782,0.6486,0.1607,0.3424,40.0642,40,0.2764,0.3596
屏東縣枋寮鄉,0.7626,0.5125,0.1984,0.1369,0.481,0.1006,0.678,0.1467,0.3006,44.3529,45,0.7371,0.408
屏東縣枋山鄉,0.7223,0.4511,0.1425,0.0893,0.4481,0.1229,0.6871,0.1376,0.2768,44.1105,45,0.7263,0.6992
屏東縣高樹鄉,0.7268,0.4997,0.1733,0.1118,0.502,0.0928,0.7027,0.1282,0.2606,46.8363,48.9268,0.9322,0.33
屏東縣恆春鎮,0.8102,0.5235,0.2056,0.1403,0.4654,0.1103,0.668,0.1613,0.3291,40.7404,40.9979,0.3333,0.5733
屏東縣佳冬鄉,0.7605,0.5559,0.2109,0.1378,0.4934,0.086,0.6795,0.1468,0.2947,45.4504,46.1159,0.8428,0.376
屏東縣九如鄉,0.809,0.5833,0.2423,0.1676,0.496,0.0837,0.6586,0.1694,0.3384,42.0556,42,0.4824,0.5353
屏東縣崁頂鄉,0.7914,0.5702,0.2397,0.1641,0.4875,0.0786,0.6539,0.1665,0.326,39.7125,39.1694,0.2331,0.5932
屏東縣來義鄉,0.6908,0.4337,0.14,0.0902,0.457,0.1155,0.6597,0.1794,0.3564,39.5151,39.8889,0.2087,0.5252
屏東縣里港鄉,0.8339,0.6217,0.2608,0.1794,0.5158,0.0785,0.6763,0.1686,0.3464,41.7936,41,0.4444,0.5308
屏東縣林邊鄉,0.7766,0.5454,0.2295,0.1524,0.5087,0.0823,0.6814,0.1461,0.3023,44.5674,45,0.7615,0.5477
屏東縣麟洛鄉,0.8673,0.7246,0.3401,0.2264,0.509,0.0809,0.6674,0.1549,0.3067,45.3758,46.3476,0.832,0.3983
屏東縣琉球鄉,0.678,0.3936,0.1784,0.1247,0.5443,0.0723,0.6973,0.1406,0.331,42.1398,42,0.4905,0.6458
屏東縣瑪家鄉,0.7691,0.5218,0.1653,0.1019,0.4322,0.1122,0.6425,0.1689,0.3692,39.1887,38.7727,0.1707,0.4187
屏東縣滿州鄉,0.7463,0.4448,0.1472,0.0951,0.4273,0.1343,0.6733,0.1428,0.282,44.876,46.0776,0.7805,0.5207
屏東縣牡丹鄉,0.7692,0.5104,0.1738,0.1127,0.4375,0.1245,0.6708,0.1708,0.3617,41.2625,41,0.374,0.6116
屏東縣南州鄉,0.782,0.579,0.2416,0.1557,0.5026,0.079,0.6776,0.147,0.3003,45.5301,46.05,0.8537,0.4307
屏東縣內埔鄉,0.8303,0.6477,0.2825,0.1864,0.473,0.098,0.6563,0.1616,0.3125,43.8485,44.5186,0.7073,0.6193
屏東縣屏東市,0.8724,0.7243,0.3835,0.2684,0.4721,0.0919,0.6363,0.1615,0.3299,41.7741,42,0.4417,0.3788
屏東縣三地門鄉,0.752,0.4718,0.1436,0.0968,0.4251,0.1239,0.6484,0.1748,0.3719,38.9323,38.5952,0.1491,0.5602
屏東縣獅子鄉,0.7538,0.4472,0.1268,0.0747,0.4506,0.1242,0.6803,0.1784,0.3493,40.0245,40,0.2683,0.3336
屏東縣泰武鄉,0.7605,0.486,0.1372,0.0814,0.4666,0.1109,0.6635,0.1878,0.3806,37.5414,37,0.0515,0.479
屏東縣萬丹鄉,0.8086,0.6164,0.2556,0.1786,0.509,0.0722,0.6575,0.1717,0.3413,41.7056,41.0014,0.4363,0.521
屏東縣萬巒鄉,0.8092,0.5835,0.2264,0.1528,0.4865,0.0928,0.6726,0.151,0.2974,44.2098,45,0.7317,0.3401
屏東縣霧臺鄉,0.7436,0.5194,0.1757,0.1203,0.4703,0.0928,0.6586,0.1736,0.3362,41.9468,42.2391,0.4688,0.3327
屏東縣新埤鄉,0.7703,0.5451,0.1736,0.1089,0.4876,0.1024,0.692,0.1397,0.2823,45.8665,47.3831,0.8726,0.3151
屏東縣新園鄉,0.8025,0.5399,0.2209,0.1492,0.4965,0.0756,0.6596,0.1641,0.3358,42.6963,42,0.5583,0.4046
屏東縣鹽埔鄉,0.7762,0.5421,0.2132,0.1455,0.4934,0.0869,0.6629,0.1668,0.3322,42.7166,42.5909,0.561,0.3817
屏東縣長治鄉,0.8252,0.6394,0.2917,0.2042,0.4963,0.0844,0.6566,0.166,0.3271,43.4714,44,0.6585,0.642
屏東縣竹田鄉,0.8182,0.652,0.2581,0.1713,0.4978,0.0869,0.6755,0.1502,0.2968,45.4719,47,0.8455,0.6029
臺北市北投區,0.8869,0.7557,0.487,0.3664,0.5309,0.0749,0.6646,0.1367,0.3293,41.5722,41.2402,0.4119,0.6733
臺北市大安區,0.9441,0.8605,0.6445,0.5283,0.5564,0.0636,0.6782,0.1177,0.2792,42.8763,43.4713,0.5908,0.5738
臺北市大同區,0.8785,0.7384,0.4483,0.3297,0.5128,0.0823,0.6558,0.1288,0.3246,42.3179,42,0.5041,0.6424
臺北市南港區,0.8806,0.7508,0.4768,0.3563,0.5327,0.0753,0.6679,0.139,0.3447,40.9692,40.72,0.3442,0.6799
臺北市內湖區,0.918,0.8057,0.5448,0.4137,0.5443,0.0689,0.6606,0.1511,0.3498,39.8441,39.9311,0.2493,0.5204
臺北市士林區,0.8858,0.762,0.4924,0.3734,0.5318,0.0703,0.6621,0.1354,0.3223,42.4423,42,0.5203,0.5041
臺北市松山區,0.9374,0.8466,0.6101,0.4795,0.551,0.0658,0.6747,0.1231,0.2912,42.4282,43,0.5176,0.5622
臺北市萬華區,0.8527,0.6954,0.4018,0.2926,0.4862,0.1001,0.6589,0.1294,0.3201,43.7099,43.5458,0.6911,0.6594
臺北市文山區,0.9152,0.8045,0.5471,0.4236,0.5374,0.0712,0.6654,0.1382,0.3187,41.2471,41.4738,0.3713,0.6143
臺北市信義區,0.909,0.8066,0.5439,0.4174,0.5327,0.072,0.6663,0.1316,0.3168,43.1235,43,0.626,0.4825
臺北市中山區,0.9148,0.8061,0.5431,0.4182,0.5129,0.0899,0.6584,0.1244,0.3115,43.0441,43.1065,0.6179,0.5393
臺北市中正區,0.9291,0.8264,0.5922,0.4746,0.5518,0.0675,0.6763,0.1213,0.3009,41.5128,41.6247,0.3984,0.3334
臺東縣卑南鄉,0.7531,0.4987,0.1735,0.1155,0.4222,0.1268,0.648,0.1577,0.307,43.1094,44,0.6233,0.3235
臺東縣成功鎮,0.6611,0.4038,0.1452,0.0972,0.4506,0.1164,0.6723,0.1325,0.2886,45.0649,46.0302,0.8049,0.3595
臺東縣池上鄉,0.7183,0.4768,0.173,0.1133,0.4486,0.1101,0.6772,0.1341,0.2659,45.6955,46.75,0.8618,0.4789
臺東縣達仁鄉,0.6872,0.4218,0.1453,0.0914,0.4269,0.1274,0.6515,0.1625,0.3345,41.4746,42,0.3957,0.4324
臺東縣大武鄉,0.7193,0.4411,0.1524,0.1005,0.4259,0.1388,0.6669,0.1436,0.313,42.7665,43,0.5664,0.4316
臺東縣東河鄉,0.6719,0.4034,0.1357,0.0902,0.4275,0.1231,0.6763,0.104,0.2493,47.4733,49,0.9566,0.4086
臺東縣關山鎮,0.7446,0.5237,0.2039,0.1461,0.4455,0.1051,0.6533,0.1544,0.2935,43.8688,45,0.71,0.4623
臺東縣海端鄉,0.7489,0.4852,0.1544,0.0998,0.4193,0.0823,0.6083,0.1921,0.3955,35.77,35,0.0081,0.6415
臺東縣金峰鄉,0.7762,0.4898,0.1619,0.1025,0.4239,0.1259,0.6322,0.1907,0.3552,37.9639,37.9286,0.084,0.3981
臺東縣蘭嶼鄉,0.8418,0.5549,0.1925,0.1501,0.4582,0.0814,0.595,0.198,0.427,36.4572,36,0.0217,0.4782
臺東縣鹿野鄉,0.7161,0.4669,0.1649,0.1128,0.4604,0.1115,0.6759,0.1378,0.2796,45.2013,46.3125,0.8184,0.449
臺東縣綠島鄉,0.8296,0.6314,0.298,0.2087,0.503,0.0791,0.6391,0.1857,0.3967,39.5553,39,0.2168,0.6095
臺東縣臺東市,0.8336,0.6315,0.2942,0.2079,0.4511,0.1039,0.6337,0.1663,0.3276,40.7342,41,0.3306,0.3411
臺東縣太麻里鄉,0.7006,0.4374,0.1463,0.0971,0.445,0.1238,0.6731,0.1452,0.3014,43.7523,44.2705,0.6965,0.6145
臺東縣延平鄉,0.7521,0.4769,0.1724,0.1142,0.4251,0.1047,0.6271,0.1681,0.3631,36.8147,37.5,0.0271,0.5298
臺東縣長濱鄉,0.6185,0.3389,0.1089,0.0764,0.4308,0.115,0.6741,0.1075,0.2356,48.1481,50.0984,0.9756,0.3942
臺南市安定區,0.7826,0.5793,0.2791,0.2081,0.5224,0.0696,0.6684,0.1582,0.345,41.627,41,0.4173,0.5502
臺南市安南區,0.8202,0.6251,0.3197,0.2441,0.5038,0.0799,0.6413,0.1671,0.3853,38.706,38.0657,0.1247,0.6138
臺南市安平區,0.8951,0.7376,0.4116,0.3039,0.4789,0.1054,0.6336,0.1632,0.342,39.1555,40,0.1653,0.594
臺南市白河區,0.7276,0.5175,0.2216,0.1546,0.5005,0.084,0.6952,0.1308,0.2743,47.0516,48.4937,0.9377,0.4791
臺南市北門區,0.7153,0.4762,0.1987,0.1439,0.5159,0.0843,0.7056,0.121,0.286,45.4952,47,0.8482,0.5068
臺南市北區,0.862,0.7186,0.4256,0.3237,0.4907,0.0854,0.6417,0.1445,0.3304,41.2761,41.1751,0.3767,0.6748
臺南市大內區,0.6955,0.5001,0.1989,0.132,0.5124,0.0916,0.7156,0.1212,0.2518,47.8112,49.2286,0.9675,0.4372
臺南市東區,0.9083,0.7851,0.4988,0.3809,0.5027,0.0774,0.6356,0.1565,0.3263,40.2729,40.7499,0.2818,0.4461
臺南市東山區,0.7067,0.4721,0.1935,0.134,0.521,0.081,0.7108,0.1294,0.2668,46.8035,48.8694,0.9295,0.5819
臺南市官田區,0.7801,0.6022,0.2855,0.2064,0.4986,0.0812,0.6774,0.1564,0.3166,43.5985,44,0.6748,0.5042
臺南市關廟區,0.7615,0.562,0.2542,0.1883,0.5138,0.0728,0.6718,0.1475,0.3201,43.5921,43.5736,0.6721,0.6893
臺南市歸仁區,0.8361,0.6564,0.3293,0.2454,0.5174,0.075,0.6536,0.169,0.3644,40.0195,39.4093,0.2656,0.3008
臺南市後壁區,0.7305,0.5459,0.2509,0.1708,0.5242,0.0717,0.7056,0.1303,0.2709,47.4225,49,0.9539,0.5439
臺南市佳里區,0.8271,0.6468,0.3315,0.253,0.5127,0.0742,0.6612,0.1552,0.3435,41.961,41,0.4743,0.6298
臺南市將軍區,0.7183,0.483,0.1931,0.1424,0.5,0.0875,0.6947,0.1267,0.2789,46.7499,47.9475,0.9241,0.377
臺南市柳營區,0.7624,0.5693,0.279,0.1989,0.5087,0.0772,0.6798,0.1551,0.3079,44.9877,45.8282,0.7913,0.4419
臺南市六甲區,0.7713,0.5939,0.2882,0.212,0.513,0.0709,0.6731,0.1555,0.3144,43.3524,43.5436,0.645,0.3852
臺南市龍崎區,0.6612,0.4266,0.1664,0.1135,0.5451,0.0928,0.7555,0.1038,0.2369,50.5793,53,0.9919,0.5075
臺南市麻豆區,0.8063,0.6319,0.3216,0.2416,0.5216,0.0682,0.6761,0.1455,0.3164,43.4901,43,0.6612,0.4927
臺南市南化區,0.7033,0.4653,0.1924,0.1391,0.5373,0.0821,0.719,0.1415,0.2798,46.3301,48,0.8889,0.5146
臺南市南區,0.8239,0.6516,0.3441,0.2595,0.4733,0.0892,0.6315,0.1518,0.3387,42.7774,42.3619,0.5691,0.6339
臺南市楠西區,0.7042,0.4635,0.1894,0.1309,0.51,0.0906,0.7071,0.1236,0.2662,46.8672,49,0.935,0.4004
臺南市七股區,0.7301,0.4711,0.1905,0.1393,0.4867,0.0998,0.6932,0.1368,0.2834,45.4065,46.5186,0.8347,0.4508
臺南市仁德區,0.83,0.6587,0.3504,0.2563,0.5135,0.082,0.6616,0.1565,0.3557,40.9815,40.6964,0.3496,0.4553
臺南市山上區,0.7478,0.5584,0.2543,0.176,0.5055,0.08,0.6866,0.1506,0.2965,45.2967,46.0543,0.8293,0.414
臺南市善化區,0.8303,0.6788,0.3957,0.2966,0.5453,0.0675,0.683,0.1479,0.3541,40.0666,39,0.2791,0.6896
臺南市西港區,0.7751,0.5658,0.2621,0.1999,0.5096,0.0739,0.6625,0.1682,0.3385,42.9413,42.6062,0.5962,0.5909
臺南市下營區,0.7428,0.5479,0.2629,0.1914,0.5281,0.068,0.6947,0.1422,0.3012,45.215,46,0.8211,0.3545
臺南市新化區,0.8002,0.6046,0.311,0.2291,0.4999,0.0819,0.658,0.1566,0.3314,42.2373,42,0.4986,0.6816
臺南市新市區,0.8287,0.65,0.3615,0.2667,0.5296,0.0688,0.6636,0.1677,0.3719,39.3433,38.7462,0.1897,0.5452
臺南市新營區,0.8797,0.7303,0.4145,0.3002,0.4997,0.0793,0.6503,0.162,0.3336,41.4013,41,0.3875,0.6671
臺南市學甲區,0.7855,0.6041,0.2768,0.2011,0.495,0.076,0.6665,0.1463,0.3224,43.9519,44.2163,0.7127,0.3898
臺南市鹽水區,0.779,0.5653,0.2731,0.1898,0.4952,0.0851,0.6777,0.1478,0.3088,44.4269,45,0.7453,0.5686
臺南市永康區,0.8639,0.7028,0.387,0.2883,0.4982,0.0935,0.6457,0.1666,0.3742,38.7625,38.8631,0.1328,0.3356
臺南市玉井區,0.7495,0.5357,0.2304,0.1631,0.4981,0.0891,0.6927,0.1356,0.2765,46.2469,48.1481,0.8862,0.3753
臺南市中西區,0.8774,0.7434,0.4524,0.3413,0.4835,0.0878,0.645,0.1337,0.2966,42.8369,43,0.5854,0.3243
臺南市左鎮區,0.6548,0.4132,0.1571,0.0998,0.4979,0.114,0.7383,0.1031,0.2138,50.9622,53.5595,0.9973,0.3025
臺中市北區,0.9121,0.7729,0.4536,0.3323,0.4689,0.1087,0.635,0.1593,0.3433,41.1675,41,0.3631,0.306
臺中市北屯區,0.9094,0.7667,0.4407,0.3157,0.5024,0.0925,0.6443,0.1698,0.3635,38.6411,38.5578,0.122,0.4409
臺中市大安區,0.7635,0.5427,0.223,0.1627,0.5337,0.0548,0.6714,0.1732,0.3475,41.7266,41,0.439,0.3084
臺中市大肚區,0.8273,0.6355,0.3103,0.2202,0.5177,0.0694,0.6488,0.172,0.3707,39.3892,38.6546,0.1978,0.5189
臺中市大甲區,0.833,0.6188,0.2996,0.22,0.5205,0.0623,0.6505,0.1787,0.3705,39.0051,38,0.1599,0.3095
臺中市大里區,0.8904,0.6913,0.3507,0.2508,0.5055,0.0819,0.6379,0.1812,0.3881,37.6811,37,0.0569,0.6924
臺中市大雅區,0.8811,0.6672,0.3291,0.2341,0.5182,0.0705,0.6443,0.1881,0.3875,37.2453,36.9755,0.0434,0.5182
臺中市東區,0.8773,0.7071,0.3808,0.2689,0.4871,0.0909,0.6419,0.1599,0.3506,40.9032,40.2062,0.3388,0.3241
臺中市東勢區,0.8233,0.6158,0.2717,0.1845,0.5124,0.0731,0.6725,0.1502,0.3151,43.3824,43.4181,0.6504,0.3393
臺中市豐原區,0.8674,0.6823,0.3501,0.2448,0.5097,0.0743,0.6471,0.1678,0.3587,39.4452,39,0.206,0.6182
臺中市和平區,0.8098,0.5418,0.1933,0.1197,0.5067,0.1166,0.7122,0.1492,0.2959,43.0777,45,0.6206,0.5118
臺中市后里區,0.8237,0.6035,0.2744,0.1957,0.5177,0.0704,0.6648,0.1665,0.3572,39.7144,39,0.2358,0.6125
臺中市龍井區,0.8575,0.6541,0.3334,0.2439,0.524,0.0664,0.6472,0.1857,0.3896,37.9601,37,0.0786,0.3729
臺中市南區,0.9198,0.7799,0.4689,0.3415,0.5049,0.0897,0.6424,0.1602,0.3529,38.7579,39,0.1301,0.4233
臺中市南屯區,0.9221,0.7859,0.4859,0.3553,0.5243,0.0762,0.6422,0.1699,0.3529,37.1374,37.9264,0.0407,0.5303
臺中市清水區,0.8216,0.618,0.3059,0.2217,0.5258,0.0582,0.6522,0.1659,0.3617,39.8598,39,0.252,0.4339
臺中市沙鹿區,0.8448,0.6637,0.3543,0.2576,0.5423,0.0651,0.6631,0.1676,0.3907,37.0505,37,0.0379,0.4661
臺中市神岡區,0.8253,0.6273,0.2932,0.2058,0.5274,0.0628,0.6534,0.1764,0.3739,39.3827,38.3799,0.1951,0.5435
臺中市石岡區,0.8309,0.615,0.2698,0.1848,0.5066,0.0733,0.6597,0.1544,0.324,42.9026,42.4398,0.5935,0.6005
臺中市太平區,0.8727,0.6765,0.3294,0.2327,0.4894,0.0922,0.64,0.1803,0.3878,38.4604,37.9974,0.1057,0.4836
臺中市潭子區,0.8808,0.6972,0.3419,0.2339,0.506,0.0839,0.6441,0.1796,0.3729,38.3661,38,0.0976,0.3744
臺中市外埔區,0.8137,0.5807,0.2526,0.1834,0.5292,0.0682,0.6705,0.1774,0.3716,39.9811,39,0.2629,0.4836
臺中市烏日區,0.8588,0.6744,0.3419,0.2447,0.5201,0.0716,0.6518,0.1765,0.3785,38.6161,38,0.1165,0.6816
臺中市梧棲區,0.8365,0.6367,0.3193,0.2316,0.5291,0.0631,0.6472,0.1768,0.388,37.8817,37,0.0678,0.328
臺中市霧峰區,0.8431,0.6502,0.309,0.2237,0.5144,0.0706,0.6535,0.1743,0.362,40.5216,39.6471,0.3144,0.3301
臺中市西區,0.9187,0.7963,0.5047,0.3776,0.4989,0.0896,0.6428,0.151,0.3232,40.6597,41,0.3279,0.6435
臺中市西屯區,0.9207,0.7811,0.4757,0.3524,0.5114,0.0835,0.6416,0.1692,0.3614,37.8689,38,0.065,0.463
臺中市新社區,0.7895,0.5572,0.232,0.1573,0.5208,0.0722,0.6806,0.1502,0.312,42.7639,42.9147,0.5637,0.363
臺中市中區,0.8879,0.7163,0.3901,0.2654,0.4496,0.1366,0.6517,0.1258,0.2858,41.3987,42,0.3848,0.4319
桃園市八德區,0.859,0.6597,0.3321,0.2407,0.5125,0.0906,0.66,0.1694,0.3872,38.3694,37.9495,0.1003,0.6614
桃園市大溪區,0.8335,0.6129,0.2921,0.2102,0.5062,0.0845,0.6605,0.172,0.3546,39.6973,39,0.2276,0.3042
桃園市大園區,0.8459,0.6281,0.2908,0.2127,0.5215,0.0822,0.6618,0.1836,0.3804,38.3464,37.3794,0.0949,0.5325
桃園市復興區,0.7844,0.4473,0.1454,0.098,0.4947,0.1196,0.6911,0.1781,0.3534,38.5623,38.5192,0.1111,0.657
桃園市觀音區,0.849,0.6309,0.2689,0.19,0.515,0.0827,0.6597,0.1926,0.3704,38.7453,37.9009,0.1274,0.4672
桃園市龜山區,0.8687,0.6727,0.3535,0.2552,0.5082,0.0957,0.6579,0.1656,0.3795,38.6058,38,0.1138,0.4104
桃園市龍潭區,0.8754,0.6897,0.359,0.2638,0.5163,0.0859,0.6627,0.1768,0.3644,39.3202,38.8536,0.1843,0.6178
桃園市蘆竹區,0.8934,0.7028,0.38,0.2724,0.5446,0.0808,0.6694,0.1656,0.3666,36.7157,37,0.0244,0.3754
桃園市平鎮區,0.8917,0.7158,0.3705,0.2698,0.5143,0.0884,0.6561,0.1752,0.387,37.9189,37.1218,0.0732,0.3889
桃園市桃園區,0.8995,0.7348,0.4207,0.3044,0.5106,0.0944,0.6527,0.1625,0.3545,38.1533,38.1509,0.0894,0.4177
