site_id,juniorhigh_p,seniorhigh_p,associate_p,college_p,spouse_p,divorce_p,ever_married_p,age_20_p,age_20_40_p,avg_age,median_age,pr_avg_age,vote_p
宜蘭縣羅東鎮,0.8796,0.667,0.3669,0.2527,0.4987,0.0887,0.6544,0.1619,0.331,39.5867,39,0.2195,0.6363
宜蘭縣南澳鄉,0.81,0.4666,0.1359,0.0811,0.503,0.1131,0.6917,0.1993,0.3869,35.8575,34.6591,0.0136,0.6239
宜蘭縣三星鄉,0.7972,0.5219,0.2416,0.1677,0.5104,0.085,0.6852,0.151,0.2924,45.2475,46.3631,0.8266,0.3374
宜蘭縣蘇澳鎮,0.7708,0.5151,0.2339,0.1608,0.5063,0.0851,0.6793,0.1551,0.3115,43.673,44,0.6802,0.52
宜蘭縣頭城鎮,0.8024,0.4848,0.2411,0.1633,0.5113,0.0779,0.6756,0.1619,0.3207,42.7961,43,0.5745,0.6403
宜蘭縣五結鄉,0.8235,0.5764,0.2955,0.2051,0.5083,0.0802,0.6638,0.1714,0.3381,42.826,42.8032,0.5827,0.3263
宜蘭縣宜蘭市,0.872,0.6606,0.3759,0.2661,0.4908,0.0798,0.6401,0.1697,0.3394,40.4337,40,0.2927,0.6205
宜蘭縣員山鄉,0.7869,0.5072,0.2516,0.1739,0.5047,0.0778,0.6639,0.1768,0.3292,42.6937,43,0.5556,0.6931
宜蘭縣壯圍鄉,0.778,0.4968,0.2451,0.1678,0.5078,0.0755,0.6666,0.1708,0.329,43.146,43.3551,0.6287,0.4116
雲林縣褒忠鄉,0.7246,0.4771,0.2083,0.1472,0.5229,0.07,0.6924,0.1443,0.3066,44.6014,45,0.7642,0.4031
雲林縣北港鎮,0.7853,0.5771,0.2776,0.1969,0.5057,0.0688,0.6675,0.1481,0.3099,43.027,43,0.6125,0.69
雲林縣莿桐鄉,0.7517,0.5262,0.2369,0.1683,0.5295,0.0649,0.6827,0.1537,0.3291,42.6215,42,0.5501,0.435
雲林縣大埤鄉,0.7381,0.5119,0.2195,0.1521,0.5161,0.0696,0.6912,0.1414,0.2949,44.2639,44,0.7344,0.5703
雲林縣東勢鄉,0.6794,0.4215,0.1794,0.1243,0.5327,0.0751,0.7213,0.1234,0.2783,46.3979,47.1489,0.897,0.3351
雲林縣斗六市,0.8522,0.6718,0.3613,0.2586,0.5053,0.0796,0.6532,0.1694,0.3479,40.0255,39.3626,0.271,0.6751
雲林縣斗南鎮,0.7984,0.6064,0.3066,0.2178,0.5052,0.0739,0.6633,0.1635,0.3264,42.5454,42,0.5393,0.3405
雲林縣二崙鄉,0.7113,0.4545,0.1931,0.1346,0.539,0.0596,0.7055,0.1371,0.2871,44.9951,45.5301,0.794,0.5453
雲林縣古坑鄉,0.759,0.5323,0.243,0.1675,0.5219,0.0746,0.6925,0.1534,0.3031,44.646,45,0.7669,0.3701
雲林縣虎尾鎮,0.8239,0.619,0.314,0.2255,0.5126,0.0767,0.6667,0.1509,0.3321,40.4138,40,0.29,0.4784
雲林縣口湖鄉,0.6837,0.4225,0.1686,0.1193,0.524,0.0801,0.7061,0.1287,0.2994,44.9064,45,0.7859,0.3817
雲林縣林內鄉,0.7657,0.5571,0.2435,0.1677,0.49370000000000003,0.0796,0.6691,0.1584,0.3264,42.7789,42,0.5718,0.5637
